ensembl_gene_id,gene.x,gene_gencodeV33,chromosome,pLI,LOEUF,prior.dn.ptv,prior.dn.misb,prior.dn.misa,prior.in.ptv,prior.in.misb,prior.in.misa,prior.cc.ptv,prior.cc.misb,prior.cc.misa,gene.y,ensembl_transcript_id,mu_syn,mu_mis,mu_lof,hgnc_symbol
ENSG00000004838,ZMYND10,ZMYND10,3,2.30E-07,0.859,1.43892834,14.14714762,1.682544956,1.112161284,1.585667216,1.05,1.361925284,3.077927599,1.05,ZMYND10,ENST00000231749,5.36E-06,1.37E-05,1.36E-06,ZMYND10
ENSG00000004846,ABCB5,ABCB5,7,1.51E-37,1.127,1.003338607,14.14714762,1.682544956,1,1.585667216,1.05,1.034755686,3.077927599,1.05,ABCB5,ENST00000404938,1.38E-05,3.40E-05,3.89E-06,ABCB5
ENSG00000004864,SLC25A13,SLC25A13,7,1.28E-24,1.237,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,SLC25A13,ENST00000416240,7.60E-06,1.89E-05,2.21E-06,SLC25A13
ENSG00000004866,ST7,ST7,7,0.99703,0.264,8.464706295,14.14714762,1.682544956,1.51071413,1.585667216,1.05,2.748032203,3.077927599,1.05,ST7,ENST00000265437,6.62E-06,1.63E-05,1.86E-06,ST7
ENSG00000004897,CDC27,CDC27,17,0.99675,0.273,8.206070552,14.14714762,1.682544956,1.507120279,1.585667216,1.05,2.727828629,3.077927599,1.05,CDC27,ENST00000531206,8.08E-06,2.04E-05,2.38E-06,CDC27
ENSG00000004939,SLC4A1,SLC4A1,17,0.84602,0.349,6.285769634,14.14714762,1.682544956,1.471500922,1.585667216,1.05,2.551348658,3.077927599,1.05,SLC4A1,ENST00000262418,1.47E-05,3.22E-05,2.03E-06,SLC4A1
ENSG00000004948,CALCR,CALCR,7,3.12E-09,0.928,1.271720751,14.14714762,1.682544956,1.073340639,1.585667216,1.05,1.248595602,3.077927599,1.05,CALCR,ENST00000359558,6.13E-06,1.52E-05,1.60E-06,CALCR
ENSG00000004975,DVL2,DVL2,17,1.36E-05,0.657,2.313873323,14.14714762,1.682544956,1.253558474,1.585667216,1.05,1.786073758,3.077927599,1.05,DVL2,ENST00000005340,1.24E-05,2.74E-05,1.65E-06,DVL2
ENSG00000005001,PRSS22,PRSS22,16,0.0029749,0.94,1.247030032,14.14714762,1.682544956,1.067253482,1.585667216,1.05,1.23089065,3.077927599,1.05,PRSS22,ENST00000161006,5.73E-06,1.20E-05,6.35E-07,PRSS22
ENSG00000005007,UPF1,UPF1,19,1,0.162,11.8757199,14.14714762,1.682544956,1.541985071,1.585667216,1.05,2.960348645,3.077927599,1.05,UPF1,ENST00000262803,2.55E-05,4.64E-05,2.44E-06,UPF1
ENSG00000005020,SKAP2,SKAP2,7,0.0012836,0.67,2.233215302,14.14714762,1.682544956,1.243623893,1.585667216,1.05,1.755453309,3.077927599,1.05,SKAP2,ENST00000345317,3.02E-06,8.66E-06,1.07E-06,SKAP2
ENSG00000005059,CCDC109B,MCUB,4,2.28E-08,1.351,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,CCDC109B,ENST00000394650,4.05E-06,9.72E-06,8.67E-07,MCUB
ENSG00000005073,HOXA11,HOXA11,7,0.94342,0.329,6.746775429,14.14714762,1.682544956,1.481772548,1.585667216,1.05,2.598704846,3.077927599,1.05,HOXA11,ENST00000006015,8.86E-06,1.60E-05,4.78E-07,HOXA11
ENSG00000005075,POLR2J,POLR2J,7,0.0071512,1.365,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,POLR2J,ENST00000292614,2.01E-06,3.87E-06,4.60E-07,POLR2J
ENSG00000005100,DHX33,DHX33,17,9.14E-06,0.678,2.185668573,14.14714762,1.682544956,1.237545566,1.585667216,1.05,1.736795661,3.077927599,1.05,DHX33,ENST00000225296,1.17E-05,2.54E-05,1.73E-06,DHX33
ENSG00000005102,MEOX1,MEOX1,17,0.00019076,1.268,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,MEOX1,ENST00000318579,4.00E-06,8.68E-06,6.10E-07,MEOX1
ENSG00000005108,THSD7A,THSD7A,7,1,0.215,9.994648191,14.14714762,1.682544956,1.527890711,1.585667216,1.05,2.854581303,3.077927599,1.05,THSD7A,ENST00000423059,2.09E-05,4.96E-05,5.63E-06,THSD7A
ENSG00000005156,LIG3,LIG3,17,1.44E-10,0.682,2.162472108,14.14714762,1.682544956,1.234517444,1.585667216,1.05,1.727521687,3.077927599,1.05,LIG3,ENST00000378526,1.25E-05,3.16E-05,2.69E-06,LIG3
ENSG00000005175,RPAP3,RPAP3,12,6.99E-05,0.581,2.881857534,14.14714762,1.682544956,1.312472938,1.585667216,1.05,1.971491247,3.077927599,1.05,RPAP3,ENST00000005386,6.47E-06,1.58E-05,1.91E-06,RPAP3
ENSG00000005187,ACSM3,ACSM3,16,1.44E-14,1.055,1.074486518,14.14714762,1.682544956,1.020040321,1.585667216,1.05,1.093711389,3.077927599,1.05,ACSM3,ENST00000289416,5.94E-06,1.51E-05,1.79E-06,ACSM3
ENSG00000005189,AC004381.6,REXO5,16,2.80E-11,0.856,1.447312851,14.14714762,1.682544956,1.11398533,1.585667216,1.05,1.367272828,3.077927599,1.05,AC004381.6,ENST00000261377,8.26E-06,1.97E-05,1.68E-06,REXO5
ENSG00000005194,CIAPIN1,CIAPIN1,16,0.0019035,0.836,1.505929094,14.14714762,1.682544956,1.126409621,1.585667216,1.05,1.40376143,3.077927599,1.05,CIAPIN1,ENST00000394391,3.66E-06,8.31E-06,7.82E-07,CIAPIN1
ENSG00000005238,FAM214B,FAM214B,9,0.80243,0.419,4.904393656,14.14714762,1.682544956,1.430672325,1.585667216,1.05,2.381198175,3.077927599,1.05,FAM214B,ENST00000378561,7.18E-06,1.80E-05,1.06E-06,ATOSB
ENSG00000005243,COPZ2,COPZ2,17,7.46E-08,1.614,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,COPZ2,ENST00000006101,4.03E-06,8.02E-06,7.43E-07,COPZ2
ENSG00000005249,PRKAR2B,PRKAR2B,7,0.99713,0.22,9.829041012,14.14714762,1.682544956,1.526323922,1.585667216,1.05,2.844018337,3.077927599,1.05,PRKAR2B,ENST00000265717,7.15E-06,1.41E-05,1.08E-06,PRKAR2B
ENSG00000005339,CREBBP,CREBBP,16,1,0.066,15.66872155,14.14714762,1.682544956,1.557747146,1.585667216,1.05,3.093236563,3.077927599,1.05,CREBBP,ENST00000262367,3.83E-05,8.36E-05,6.42E-06,CREBBP
ENSG00000005379,BZRAP1,TSPOAP1,17,0.00844,0.361,6.023713631,14.14714762,1.682544956,1.465036953,1.585667216,1.05,2.522654619,3.077927599,1.05,BZRAP1,ENST00000343736,2.79E-05,6.33E-05,4.63E-06,TSPOAP1
ENSG00000005381,MPO,MPO,17,7.11E-15,1.145,1,14.14714762,1.682544956,1,1.585667216,1.05,1.022791721,3.077927599,1.05,MPO,ENST00000225275,1.44E-05,3.21E-05,1.50E-06,MPO
ENSG00000005421,PON1,PON1,7,9.81E-11,1.29,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,PON1,ENST00000222381,3.86E-06,8.55E-06,1.07E-06,PON1
ENSG00000005436,GCFC2,GCFC2,2,2.56E-24,1.167,1,14.14714762,1.682544956,1,1.585667216,1.05,1.009551473,3.077927599,1.05,GCFC2,ENST00000321027,8.57E-06,2.19E-05,2.22E-06,GCFC2
ENSG00000005448,WDR54,WDR54,2,1.57E-11,1.311,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,WDR54,ENST00000348227,5.09E-06,1.13E-05,1.08E-06,WDR54
ENSG00000005469,CROT,CROT,7,4.43E-25,1.173,1,14.14714762,1.682544956,1,1.585667216,1.05,1.00619502,3.077927599,1.05,CROT,ENST00000419147,5.97E-06,1.67E-05,2.47E-06,CROT
ENSG00000005471,ABCB4,ABCB4,7,2.21E-07,0.508,3.624013546,14.14714762,1.682544956,1.368479802,1.585667216,1.05,2.156396717,3.077927599,1.05,ABCB4,ENST00000265723,1.56E-05,3.52E-05,3.39E-06,ABCB4
ENSG00000005483,KMT2E,KMT2E,7,1,0.06,15.91876863,14.14714762,1.682544956,1.558209577,1.585667216,1.05,3.097106534,3.077927599,1.05,KMT2E,ENST00000311117,1.88E-05,4.78E-05,3.73E-06,KMT2E
ENSG00000005486,RHBDD2,RHBDD2,7,0.63858,0.529,3.386804321,14.14714762,1.682544956,1.352610063,1.585667216,1.05,2.102853146,3.077927599,1.05,RHBDD2,ENST00000006777,7.37E-06,1.34E-05,6.01E-07,RHBDD2
ENSG00000005513,SOX8,SOX8,16,0.67167,0.512,3.57719101,14.14714762,1.682544956,1.365479608,1.585667216,1.05,2.146189741,3.077927599,1.05,SOX8,ENST00000293894,1.65E-05,2.57E-05,6.95E-07,SOX8
ENSG00000005700,IBTK,IBTK,6,0.0022144,0.413,5.009197162,14.14714762,1.682544956,1.434464479,1.585667216,1.05,2.396037205,3.077927599,1.05,IBTK,ENST00000306270,1.21E-05,3.19E-05,3.34E-06,IBTK
ENSG00000005801,ZNF195,ZNF195,11,0.0038677,1.15,1,14.14714762,1.682544956,1,1.585667216,1.05,1.019651439,3.077927599,1.05,ZNF195,ENST00000399602,6.28E-06,1.49E-05,1.16E-06,ZNF195
ENSG00000005810,MYCBP2,MYCBP2,13,1,0.115,13.68437687,14.14714762,1.682544956,1.551293873,1.585667216,1.05,3.038814801,3.077927599,1.05,MYCBP2,ENST00000544440,4.67E-05,0.000119802,1.21E-05,MYCBP2
ENSG00000005812,FBXL3,FBXL3,13,0.9807,0.288,7.790115084,14.14714762,1.682544956,1.500832011,1.585667216,1.05,2.693792286,3.077927599,1.05,FBXL3,ENST00000355619,4.01E-06,1.15E-05,8.76E-07,FBXL3
ENSG00000005844,ITGAL,ITGAL,16,0.0043213,0.412,5.026905425,14.14714762,1.682544956,1.435091224,1.585667216,1.05,2.398505853,3.077927599,1.05,ITGAL,ENST00000356798,1.73E-05,3.66E-05,2.85E-06,ITGAL
ENSG00000005882,PDK2,PDK2,17,3.71E-06,0.919,1.291008088,14.14714762,1.682544956,1.078042435,1.585667216,1.05,1.262280373,3.077927599,1.05,PDK2,ENST00000503176,7.26E-06,1.49E-05,1.14E-06,PDK2
ENSG00000005884,ITGA3,ITGA3,17,3.55E-07,0.534,3.333354346,14.14714762,1.682544956,1.348793267,1.585667216,1.05,2.090129333,3.077927599,1.05,ITGA3,ENST00000007722,1.77E-05,3.97E-05,3.31E-06,ITGA3
ENSG00000005961,ITGA2B,ITGA2B,17,1.52E-16,0.756,1.79529525,14.14714762,1.682544956,1.180194995,1.585667216,1.05,1.563244535,3.077927599,1.05,ITGA2B,ENST00000262407,1.94E-05,3.84E-05,3.51E-06,ITGA2B
ENSG00000005981,ASB4,ASB4,7,1.12E-10,1.414,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,ASB4,ENST00000325885,6.09E-06,1.26E-05,8.33E-07,ASB4
ENSG00000006007,GDE1,GDE1,16,6.12E-06,1.172,1,14.14714762,1.682544956,1,1.585667216,1.05,1.006747015,3.077927599,1.05,GDE1,ENST00000353258,4.94E-06,1.09E-05,7.64E-07,GDE1
ENSG00000006015,C19orf60,REX1BD,19,0.00037611,1.443,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,C19orf60,ENST00000358607,5.76E-06,1.13E-05,5.30E-07,REX1BD
ENSG00000006016,CRLF1,CRLF1,19,4.00E-05,0.908,1.315527862,14.14714762,1.682544956,1.083943295,1.585667216,1.05,1.279468504,3.077927599,1.05,CRLF1,ENST00000392386,1.07E-05,2.06E-05,1.36E-06,CRLF1
ENSG00000006025,OSBPL7,OSBPL7,17,0.0028675,0.444,4.494048999,14.14714762,1.682544956,1.414289197,1.585667216,1.05,2.318871403,3.077927599,1.05,OSBPL7,ENST00000007414,1.30E-05,3.14E-05,2.71E-06,OSBPL7
ENSG00000006042,TMEM98,TMEM98,17,0.01189,0.886,1.367916819,14.14714762,1.682544956,1.09623447,1.585667216,1.05,1.31532674,3.077927599,1.05,TMEM98,ENST00000579849,3.23E-06,7.20E-06,6.84E-07,TMEM98
ENSG00000006047,YBX2,YBX2,17,0.99896,0.15,12.3289903,14.14714762,1.682544956,1.544596883,1.585667216,1.05,2.982172695,3.077927599,1.05,YBX2,ENST00000007699,7.94E-06,1.74E-05,1.51E-06,YBX2
ENSG00000006059,KRT33A,KRT33A,17,3.19E-17,1.689,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,KRT33A,ENST00000007735,6.74E-06,1.50E-05,8.37E-07,KRT33A
ENSG00000006071,ABCC8,ABCC8,11,7.96E-24,0.765,1.757777963,14.14714762,1.682544956,1.173853434,1.585667216,1.05,1.544295408,3.077927599,1.05,ABCC8,ENST00000389817,2.70E-05,5.64E-05,4.14E-06,ABCC8
ENSG00000006116,CACNG3,CACNG3,16,0.99417,0.195,10.67831442,14.14714762,1.682544956,1.53373892,1.585667216,1.05,2.895955973,3.077927599,1.05,CACNG3,ENST00000005284,5.31E-06,1.15E-05,1.00E-06,CACNG3
ENSG00000006118,TMEM132A,TMEM132A,11,2.04E-09,0.802,1.617362102,14.14714762,1.682544956,1.148520899,1.585667216,1.05,1.469003624,3.077927599,1.05,TMEM132A,ENST00000005286,1.92E-05,4.29E-05,1.93E-06,TMEM132A
ENSG00000006125,AP2B1,AP2B1,17,0.9983,0.263,8.493867196,14.14714762,1.682544956,1.511105104,1.585667216,1.05,2.750266376,3.077927599,1.05,AP2B1,ENST00000312678,1.03E-05,2.60E-05,2.06E-06,AP2B1
ENSG00000006128,TAC1,TAC1,7,0.74608,0.535,3.322798298,14.14714762,1.682544956,1.348028411,1.585667216,1.05,2.087586197,3.077927599,1.05,TAC1,ENST00000319273,1.58E-06,3.81E-06,3.99E-07,TAC1
