Gene Symbol,Description,Ensembl ID,Entrez ID,Vision,Auditory,Olfactory,Touch,Gene_hgnc
APOBEC1,Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 1,ENSG00000111701,339,no,no,yes,no,APOBEC1
APOE,Apolipoprotein E,ENSG00000130203,348,yes,no,yes,no,APOE
APOL1,Apolipoprotein L1,ENSG00000100342,8542,no,no,yes,no,APOL1
APP,Amyloid Beta Precursor Protein,ENSG00000142192,351,yes,yes,yes,yes,APP
APPL2,"Adaptor Protein, Phosphotyrosine Interacting With PH Domain And Leucine Zipper 2",ENSG00000136044,55198,no,no,yes,no,APPL2
ARHGAP39,Rho GTPase Activating Protein 39,ENSG00000147799,80728,no,no,yes,no,ARHGAP39
ARHGEF1,Rho Guanine Nucleotide Exchange Factor 1,ENSG00000076928,9138,no,no,yes,no,ARHGEF1
ARHGEF17,Rho Guanine Nucleotide Exchange Factor 17,ENSG00000110237,9828,no,no,yes,no,ARHGEF17
ARID1B,AT-Rich Interaction Domain 1B,ENSG00000049618,57492,yes,yes,yes,no,ARID1B
ARIH1,Ariadne RBR E3 Ubiquitin Protein Ligase 1,ENSG00000166233,25820,no,no,yes,no,ARIH1
ARL13B,ARF Like GTPase 13B,ENSG00000169379,200894,yes,no,yes,no,ARL13B
ARL16,,ENSG00000214087,339231,no,yes,yes,no,ARL16
ARL17B,ARF Like GTPase 17B,ENSG00000228696,100506084,no,no,yes,no,ARL17B
ARL3,,ENSG00000138175,403,yes,yes,yes,no,ARL3
ARL6,,ENSG00000113966,84100,yes,yes,yes,no,ARL6
ARNT2,Aryl Hydrocarbon Receptor Nuclear Translocator 2,ENSG00000172379,9915,yes,yes,yes,no,ARNT2
ARSA,Arylsulfatase A,ENSG00000100299,410,yes,yes,yes,yes,ARSA
ARVCF,ARVCF Delta Catenin Family Member,ENSG00000099889,421,yes,yes,yes,no,ARVCF
ASCL1,Achaete-Scute Family BHLH Transcription Factor 1,ENSG00000139352,429,yes,yes,yes,no,ASCL1
ASCL3,Achaete-Scute Family BHLH Transcription Factor 3,ENSG00000176009,56676,no,no,yes,no,ASCL3
ASTN1,Astrotactin 1,ENSG00000152092,460,no,no,yes,no,ASTN1
ATF5,Activating Transcription Factor 5,ENSG00000169136,22809,no,yes,yes,no,ATF5
ATG5,Autophagy Related 5,ENSG00000057663,9474,yes,no,yes,no,ATG5
ATG7,Autophagy Related 7,ENSG00000197548,10533,yes,yes,yes,no,ATG7
ATL3,Atlastin GTPase 3,ENSG00000184743,25923,yes,yes,yes,yes,ATL3
ATM,ATM Serine/Threonine Kinase,ENSG00000149311,472,yes,yes,yes,yes,ATM
ATOX1,Antioxidant 1 Copper Chaperone,ENSG00000177556,475,no,no,yes,no,ATOX1
ATP13A1,ATPase 13A1,ENSG00000105726,57130,no,no,yes,no,ATP13A1
ATP13A2,ATPase Cation Transporting 13A2,ENSG00000159363,23400,yes,yes,yes,yes,ATP13A2
ATP4A,ATPase H+/K+ Transporting Subunit Alpha,ENSG00000105675,495,no,no,yes,yes,ATP4A
ATP6V0A4,ATPase H+ Transporting V0 Subunit A4,ENSG00000105929,50617,yes,yes,yes,no,ATP6V0A4
ATP6V1B1,ATPase H+ Transporting V1 Subunit B1,ENSG00000116039,525,yes,yes,yes,no,ATP6V1B1
ATP6V1B2,ATPase H+ Transporting V1 Subunit B2,ENSG00000147416,526,yes,yes,yes,no,ATP6V1B2
ATP7B,ATPase Copper Transporting Beta,ENSG00000123191,540,yes,no,yes,yes,ATP7B
ATXN2,Ataxin 2,ENSG00000204842,6311,yes,no,yes,yes,ATXN2
ATXN3,Ataxin 3,ENSG00000066427,4287,yes,no,yes,yes,ATXN3
AVP,Arginine Vasopressin,ENSG00000101200,551,yes,no,yes,no,AVP
AXIN1,Axin 1,ENSG00000103126,8312,no,no,yes,no,AXIN1
AXL,AXL Receptor Tyrosine Kinase,ENSG00000167601,558,yes,no,yes,no,AXL
B3GALT6,"Beta-1,3-Galactosyltransferase 6",ENSG00000176022,126792,yes,yes,yes,no,B3GALT6
B4GALT7,"Beta-1,4-Galactosyltransferase 7",ENSG00000027847,11285,yes,yes,yes,no,B4GALT7
B9D1,B9 Domain Containing 1,ENSG00000108641,27077,yes,no,yes,no,B9D1
BAG5,BAG Cochaperone 5,ENSG00000166170,9529,no,yes,yes,no,BAG5
BANF1,Barrier To Autointegration Nuclear Assembly Factor 1,ENSG00000175334,8815,no,no,yes,no,BANF1
BAP1,BRCA1 Associated Deubiquitinase 1,ENSG00000163930,8314,yes,yes,yes,no,BAP1
BARX1,BARX Homeobox 1,ENSG00000131668,56033,no,no,yes,no,BARX1
BAZ1A,Bromodomain Adjacent To Zinc Finger Domain 1A,ENSG00000198604,11177,no,yes,yes,no,BAZ1A
BBIP1,BBSome Interacting Protein 1,ENSG00000214413,92482,yes,yes,yes,no,BBIP1
BBS1,Bardet-Biedl Syndrome 1,ENSG00000174483,582,yes,yes,yes,no,BBS1
BBS10,Bardet-Biedl Syndrome 10,ENSG00000179941,79738,yes,yes,yes,no,BBS10
BBS12,Bardet-Biedl Syndrome 12,ENSG00000181004,166379,yes,yes,yes,yes,BBS12
BBS2,Bardet-Biedl Syndrome 2,ENSG00000125124,583,yes,yes,yes,no,BBS2
BBS4,Bardet-Biedl Syndrome 4,ENSG00000140463,585,yes,yes,yes,no,BBS4
BBS5,Bardet-Biedl Syndrome 5,ENSG00000163093,129880,yes,yes,yes,no,BBS5
BBS7,Bardet-Biedl Syndrome 7,ENSG00000138686,55212,yes,yes,yes,no,BBS7
BBS9,Bardet-Biedl Syndrome 9,ENSG00000122507,27241,yes,yes,yes,no,BBS9
BCAS4,Breast Carcinoma Amplified Sequence 4,ENSG00000124243,55653,no,no,yes,no,BCAS4
BCL11A,BCL11 Transcription Factor A,ENSG00000119866,53335,yes,no,yes,no,BCL11A
BCL2L13,BCL2 Like 13,ENSG00000099968,23786,no,no,yes,no,BCL2L13
BECN1,Beclin 1,ENSG00000126581,8678,no,no,yes,no,BECN1
BGLAP,Bone Gamma-Carboxyglutamate Protein,ENSG00000242252,632,no,no,yes,no,BGLAP
BLTP3A,Bridge-Like Lipid Transfer Protein Family Member 3A,ENSG00000065060,54887,no,no,yes,no,BLTP3A
BMP1,Bone Morphogenetic Protein 1,ENSG00000168487,649,yes,yes,yes,no,BMP1
BMP2,Bone Morphogenetic Protein 2,ENSG00000125845,650,no,yes,yes,no,BMP2
BMP4,Bone Morphogenetic Protein 4,ENSG00000125378,652,yes,yes,yes,no,BMP4
BMP6,Bone Morphogenetic Protein 6,ENSG00000153162,654,no,no,yes,no,BMP6
BMP7,Bone Morphogenetic Protein 7,ENSG00000101144,655,no,no,yes,no,BMP7
BMPR1A,Bone Morphogenetic Protein Receptor Type 1A,ENSG00000107779,657,yes,no,yes,yes,BMPR1A
BMPR1B,Bone Morphogenetic Protein Receptor Type 1B,ENSG00000138696,658,yes,no,yes,no,BMPR1B
BNIP3,BCL2 Interacting Protein 3,ENSG00000176171,664,no,no,yes,no,BNIP3
BNIP3L,BCL2 Interacting Protein 3 Like,ENSG00000104765,665,no,no,yes,no,BNIP3L
BOC,"BOC Cell Adhesion Associated, Oncogene Regulated",ENSG00000144857,91653,no,no,yes,no,BOC
BOD1L1,Biorientation Of Chromosomes In Cell Division 1 Like 1,ENSG00000038219,259282,no,no,yes,no,BOD1L1
BPIFB3,BPI Fold Containing Family B Member 3,ENSG00000186190,359710,no,no,yes,no,BPIFB3
BPIFB4,BPI Fold Containing Family B Member 4,ENSG00000186191,149954,no,no,yes,no,BPIFB4
BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",ENSG00000157764,673,yes,yes,yes,yes,BRAF
BRCA1,BRCA1 DNA Repair Associated,ENSG00000012048,672,yes,yes,yes,no,BRCA1
BTBD18,BTB Domain Containing 18,ENSG00000233436,643376,no,no,yes,no,BTBD18
BUD13,BUD13 Homolog,ENSG00000137656,84811,no,no,yes,no,BUD13
C19orf12,Chromosome 19 Open Reading Frame 12,ENSG00000131943,83636,yes,yes,yes,yes,C19orf12
C2CD3,C2 Domain Containing 3 Centriole Elongation Regulator,ENSG00000168014,26005,yes,no,yes,no,C2CD3
C4A,Complement C4A (Chido/Rodgers Blood Group),ENSG00000244731,720,yes,yes,yes,yes,C4A
C9orf72,C9orf72-SMCR8 Complex Subunit,ENSG00000147894,203228,yes,no,yes,no,C9orf72
CA6,Carbonic Anhydrase 6,ENSG00000131686,765,no,no,yes,no,CA6
CACNA1C,Calcium Voltage-Gated Channel Subunit Alpha1 C,ENSG00000151067,775,yes,yes,yes,no,CACNA1C
CADPS2,Calcium Dependent Secretion Activator 2,ENSG00000081803,93664,no,no,yes,no,CADPS2
CALB1,Calbindin 1,ENSG00000104327,793,no,no,yes,no,CALB1
CALB2,Calbindin 2,ENSG00000172137,794,no,yes,yes,no,CALB2
CALCOCO2,Calcium Binding And Coiled-Coil Domain 2,ENSG00000136436,10241,no,no,yes,no,CALCOCO2
CAMKK2,Calcium/Calmodulin Dependent Protein Kinase Kinase 2,ENSG00000110931,10645,no,no,yes,no,CAMKK2
CAPZA2,Capping Actin Protein Of Muscle Z-Line Subunit Alpha 2,ENSG00000198898,830,no,no,yes,no,CAPZA2
CAT,Catalase,ENSG00000121691,847,yes,yes,yes,no,CAT
CAV1,Caveolin 1,ENSG00000105974,857,yes,yes,yes,yes,CAV1
CBL,Cbl Proto-Oncogene,ENSG00000110395,867,yes,yes,yes,no,CBL
CBS,Cystathionine Beta-Synthase,ENSG00000160200,875,yes,no,yes,yes,CBS
CC2D2A,Coiled-Coil And C2 Domain Containing 2A,ENSG00000048342,57545,yes,yes,yes,no,CC2D2A
CCDC141,Coiled-Coil Domain Containing 141,ENSG00000163492,285025,yes,yes,yes,no,CCDC141
CCDC28B,Coiled-Coil Domain Containing 28B,ENSG00000160050,79140,yes,yes,yes,no,CCDC28B
CCDC62,Coiled-Coil Domain Containing 62,ENSG00000130783,84660,no,no,yes,no,CCDC62
CCL11,C-C Motif Chemokine Ligand 11,ENSG00000172156,6356,no,no,yes,no,CCL11
CCND1,Cyclin D1,ENSG00000110092,595,yes,yes,yes,yes,CCND1
CCS,Copper Chaperone For Superoxide Dismutase,ENSG00000173992,9973,no,no,yes,no,CCS
CD274,CD274 Molecule,ENSG00000120217,29126,no,no,yes,no,CD274
CD300C,CD300c Molecule,ENSG00000167850,10871,no,no,yes,no,CD300C
CDA,Cytidine Deaminase,ENSG00000158825,978,yes,yes,yes,no,CDA
CDCP2,CUB Domain Containing Protein 2,ENSG00000157211,200008,yes,no,yes,no,CDCP2
CDH17,Cadherin 17,ENSG00000079112,1015,yes,no,yes,no,CDH17
CDH19,Cadherin 19,ENSG00000071991,28513,no,no,yes,no,CDH19
CDH2,Cadherin 2,ENSG00000170558,1000,yes,yes,yes,no,CDH2
CDH20,Cadherin 20,ENSG00000101542,28316,no,no,yes,no,CDH20
CDH7,Cadherin 7,ENSG00000081138,1005,no,no,yes,no,CDH7
CDK5RAP2,CDK5 Regulatory Subunit Associated Protein 2,ENSG00000136861,55755,yes,yes,yes,no,CDK5RAP2
CDKN3,Cyclin Dependent Kinase Inhibitor 3,ENSG00000100526,1033,no,no,yes,no,CDKN3
CDON,"Cell Adhesion Associated, Oncogene Regulated",ENSG00000064309,50937,yes,yes,yes,no,CDON
CENPO,Centromere Protein O,ENSG00000138092,79172,no,no,yes,no,CENPO
CEP164,Centrosomal Protein 164,ENSG00000110274,22897,yes,no,yes,no,CEP164
CEP170B,Centrosomal Protein 170B,ENSG00000099814,283638,no,no,yes,no,CEP170B
CEP19,Centrosomal Protein 19,ENSG00000174007,84984,yes,yes,yes,no,CEP19
CEP290,Centrosomal Protein 290,ENSG00000198707,80184,yes,yes,yes,yes,CEP290
CEP41,Centrosomal Protein 41,ENSG00000106477,95681,yes,yes,yes,no,CEP41
CERT1,Ceramide Transporter 1,ENSG00000113163,10087,yes,yes,yes,no,CERT1
CFAP418,Cilia And Flagella Associated Protein 418,ENSG00000156172,157657,yes,yes,yes,no,CFAP418
CFAP69,Cilia And Flagella Associated Protein 69,ENSG00000105792,79846,no,no,yes,no,CFAP69
CFH,Complement Factor H,ENSG00000000971,3075,yes,no,yes,no,CFH
CFTR,CF Transmembrane Conductance Regulator,ENSG00000001626,1080,yes,yes,yes,no,CFTR
CGA,"Glycoprotein Hormones, Alpha Polypeptide",ENSG00000135346,1081,no,no,yes,no,CGA
CGB5,Chorionic Gonadotropin Subunit Beta 5,ENSG00000189052,93659,no,no,yes,no,CGB5
CHCHD2,Coiled-Coil-Helix-Coiled-Coil-Helix Domain Containing 2,ENSG00000106153,51142,no,no,yes,no,CHCHD2
CHD1,Chromodomain Helicase DNA Binding Protein 1,ENSG00000153922,1105,no,no,yes,no,CHD1
CHD3,Chromodomain Helicase DNA Binding Protein 3,ENSG00000170004,1107,yes,no,yes,no,CHD3
CHD4,Chromodomain Helicase DNA Binding Protein 4,ENSG00000111642,1108,yes,yes,yes,no,CHD4
CHD6,Chromodomain Helicase DNA Binding Protein 6,ENSG00000124177,84181,yes,no,yes,no,CHD6
CHD7,Chromodomain Helicase DNA Binding Protein 7,ENSG00000171316,55636,yes,yes,yes,no,CHD7
CHD8,Chromodomain Helicase DNA Binding Protein 8,ENSG00000100888,57680,yes,no,yes,yes,CHD8
CHD9,Chromodomain Helicase DNA Binding Protein 9,ENSG00000177200,80205,no,no,yes,no,CHD9
CHGA,Chromogranin A,ENSG00000100604,1113,no,no,yes,no,CHGA
CHRD,Chordin,ENSG00000090539,8646,no,no,yes,no,CHRD
CIAO2A,Cytosolic Iron-Sulfur Assembly Component 2A,ENSG00000166797,84191,no,no,yes,no,CIAO2A
CILK1,Ciliogenesis Associated Kinase 1,ENSG00000112144,22858,yes,no,yes,no,CILK1
CLASRP,CLK4 Associating Serine/Arginine Rich Protein,ENSG00000104859,11129,no,no,yes,no,CLASRP
CLCN6,Chloride Voltage-Gated Channel 6,ENSG00000011021,1185,yes,yes,yes,no,CLCN6
CLUAP1,Clusterin Associated Protein 1,ENSG00000103351,23059,yes,no,yes,no,CLUAP1
CNGA3,Cyclic Nucleotide Gated Channel Subunit Alpha 3,ENSG00000144191,1261,yes,no,yes,no,CNGA3
CNGA4,Cyclic Nucleotide Gated Channel Subunit Alpha 4,ENSG00000132259,1262,no,no,yes,no,CNGA4
CNGB1,Cyclic Nucleotide Gated Channel Subunit Beta 1,ENSG00000070729,1258,yes,yes,yes,no,CNGB1
CNGB3,Cyclic Nucleotide Gated Channel Subunit Beta 3,ENSG00000170289,54714,yes,no,yes,no,CNGB3
CNOT1,CCR4-NOT Transcription Complex Subunit 1,ENSG00000125107,23019,no,yes,yes,no,CNOT1
CNTF,Ciliary Neurotrophic Factor,ENSG00000242689,1270,no,no,yes,no,CNTF
CNTLN,Centlein,ENSG00000044459,54875,no,no,yes,no,CNTLN
COASY,Coenzyme A Synthase,ENSG00000068120,80347,yes,yes,yes,no,COASY
COG4,Component Of Oligomeric Golgi Complex 4,ENSG00000103051,25839,yes,yes,yes,no,COG4
COL1A1,Collagen Type I Alpha 1 Chain,ENSG00000108821,1277,no,yes,yes,yes,COL1A1
COL25A1,Collagen Type XXV Alpha 1 Chain,ENSG00000188517,84570,yes,yes,yes,no,COL25A1
COL2A1,Collagen Type II Alpha 1 Chain,ENSG00000139219,1280,yes,yes,yes,no,COL2A1
COL5A1,Collagen Type V Alpha 1 Chain,ENSG00000130635,1289,yes,yes,yes,no,COL5A1
COMMD1,Copper Metabolism Domain Containing 1,ENSG00000173163,150684,yes,no,yes,no,COMMD1
COMT,Catechol-O-Methyltransferase,ENSG00000093010,1312,yes,yes,yes,no,COMT
COX11,Cytochrome C Oxidase Copper Chaperone COX11,ENSG00000166260,1353,yes,yes,yes,no,COX11
COX17,Cytochrome C Oxidase Copper Chaperone COX17,ENSG00000138495,10063,no,no,yes,no,COX17
CP,Ceruloplasmin,ENSG00000047457,1356,yes,yes,yes,no,CP
CPLANE1,Ciliogenesis And Planar Polarity Effector Complex Subunit 1,ENSG00000197603,65250,yes,yes,yes,no,CPLANE1
CRX,Cone-Rod Homeobox,ENSG00000105392,1406,yes,yes,yes,yes,CRX
CSH2,Chorionic Somatomammotropin Hormone 2,ENSG00000213218,1443,no,no,yes,no,CSH2
CTBP1,C-Terminal Binding Protein 1,ENSG00000159692,1487,yes,yes,yes,no,CTBP1
CTNNB1,Catenin Beta 1,ENSG00000168036,1499,yes,yes,yes,yes,CTNNB1
CTNNBL1,Catenin Beta Like 1,ENSG00000132792,56259,no,no,yes,no,CTNNBL1
CTSD,Cathepsin D,ENSG00000117984,1509,yes,yes,yes,no,CTSD
CTSK,Cathepsin K,ENSG00000143387,1513,yes,yes,yes,no,CTSK
CTTNBP2,Cortactin Binding Protein 2,ENSG00000077063,83992,yes,yes,yes,no,CTTNBP2
CUL1,Cullin 1,ENSG00000055130,8454,no,no,yes,no,CUL1
CXCL8,C-X-C Motif Chemokine Ligand 8,ENSG00000169429,3576,no,no,yes,no,CXCL8
CYCS,"Cytochrome C, Somatic",ENSG00000172115,54205,no,no,yes,no,CYCS
CYP26A1,Cytochrome P450 Family 26 Subfamily A Member 1,ENSG00000095596,1592,no,no,yes,no,CYP26A1
DAPL1,Death Associated Protein Like 1,ENSG00000163331,92196,no,no,yes,no,DAPL1
DBH,Dopamine Beta-Hydroxylase,ENSG00000123454,1621,yes,no,yes,no,DBH
DCAF17,DDB1 And CUL4 Associated Factor 17,ENSG00000115827,80067,yes,yes,yes,yes,DCAF17
DCC,DCC Netrin 1 Receptor,ENSG00000187323,1630,yes,yes,yes,no,DCC
DDC,Dopa Decarboxylase,ENSG00000132437,1644,yes,yes,yes,no,DDC
DDI2,DNA Damage Inducible 1 Homolog 2,ENSG00000197312,84301,no,no,yes,no,DDI2
DDX6,DEAD-Box Helicase 6,ENSG00000110367,1656,yes,no,yes,no,DDX6
DHCR7,7-Dehydrocholesterol Reductase,ENSG00000172893,1717,yes,yes,yes,no,DHCR7
DHH,Desert Hedgehog Signaling Molecule,ENSG00000139549,50846,yes,yes,yes,yes,DHH
DHX15,DEAH-Box Helicase 15,ENSG00000109606,1665,no,no,yes,no,DHX15
DIS3L2,DIS3 Like 3'-5' Exoribonuclease 2,ENSG00000144535,129563,yes,yes,yes,no,DIS3L2
DISP1,Dispatched RND Transporter Family Member 1,ENSG00000154309,84976,yes,yes,yes,no,DISP1
DISP3,Dispatched RND Transporter Family Member 3,ENSG00000204624,57540,no,no,yes,no,DISP3
DKK1,Dickkopf WNT Signaling Pathway Inhibitor 1,ENSG00000107984,22943,yes,yes,yes,yes,DKK1
DKK2,Dickkopf WNT Signaling Pathway Inhibitor 2,ENSG00000155011,27123,yes,no,yes,no,DKK2
DLAT,Dihydrolipoamide S-Acetyltransferase,ENSG00000150768,1737,yes,no,yes,no,DLAT
DLL1,Delta Like Canonical Notch Ligand 1,ENSG00000198719,28514,yes,yes,yes,no,DLL1
DLX1,Distal-Less Homeobox 1,ENSG00000144355,1745,yes,no,yes,no,DLX1
DLX2,Distal-Less Homeobox 2,ENSG00000115844,1746,yes,no,yes,no,DLX2
DLX5,Distal-Less Homeobox 5,ENSG00000105880,1749,no,yes,yes,no,DLX5
DMP1,Dentin Matrix Acidic Phosphoprotein 1,ENSG00000152592,1758,no,yes,yes,no,DMP1
DMXL2,Dmx Like 2,ENSG00000104093,23312,yes,yes,yes,no,DMXL2
DNAH8,Dynein Axonemal Heavy Chain 8,ENSG00000124721,1769,no,no,yes,no,DNAH8
DNAI1,Dynein Axonemal Intermediate Chain 1,ENSG00000122735,27019,yes,yes,yes,no,DNAI1
DNAJB6,DnaJ Heat Shock Protein Family (Hsp40) Member B6,ENSG00000105993,10049,yes,no,yes,no,DNAJB6
DNAJC13,DnaJ Heat Shock Protein Family (Hsp40) Member C13,ENSG00000138246,23317,yes,yes,yes,no,DNAJC13
DNAJC5,DnaJ Heat Shock Protein Family (Hsp40) Member C5,ENSG00000101152,80331,yes,yes,yes,no,DNAJC5
DNAJC6,DnaJ Heat Shock Protein Family (Hsp40) Member C6,ENSG00000116675,9829,yes,yes,yes,no,DNAJC6
DNAL1,Dynein Axonemal Light Chain 1,ENSG00000119661,83544,yes,yes,yes,no,DNAL1
DNHD1,Dynein Heavy Chain Domain 1,ENSG00000179532,144132,yes,no,yes,no,DNHD1
DNM1L,Dynamin 1 Like,ENSG00000087470,10059,yes,yes,yes,yes,DNM1L
DOCK6,Dedicator Of Cytokinesis 6,ENSG00000130158,57572,yes,no,yes,no,DOCK6
DOCK8,Dedicator Of Cytokinesis 8,ENSG00000107099,81704,yes,no,yes,no,DOCK8
DOK6,Docking Protein 6,ENSG00000206052,220164,no,no,yes,no,DOK6
DPP4,Dipeptidyl Peptidase 4,ENSG00000197635,1803,no,no,yes,no,DPP4
DRD2,Dopamine Receptor D2,ENSG00000149295,1813,yes,no,yes,no,DRD2
DRD3,Dopamine Receptor D3,ENSG00000151577,1814,no,yes,yes,no,DRD3
DSCAML1,DS Cell Adhesion Molecule Like 1,ENSG00000177103,57453,yes,no,yes,no,DSCAML1
DUSP6,Dual Specificity Phosphatase 6,ENSG00000139318,1848,yes,yes,yes,no,DUSP6
DYNC2H1,Dynein Cytoplasmic 2 Heavy Chain 1,ENSG00000187240,79659,yes,no,yes,no,DYNC2H1
EAPP,E2F Associated Phosphoprotein,ENSG00000129518,55837,no,yes,yes,no,EAPP
EBF1,EBF Transcription Factor 1,ENSG00000164330,1879,yes,yes,yes,no,EBF1
EBF2,EBF Transcription Factor 2,ENSG00000221818,64641,no,no,yes,no,EBF2
EDN3,Endothelin 3,ENSG00000124205,1908,yes,yes,yes,no,EDN3
EDNRA,Endothelin Receptor Type A,ENSG00000151617,1909,yes,yes,yes,no,EDNRA
EDNRB,Endothelin Receptor Type B,ENSG00000136160,1910,yes,yes,yes,no,EDNRB
EFCAB13,EF-Hand Calcium Binding Domain 13,ENSG00000178852,124989,no,no,yes,no,EFCAB13
EFEMP1,EGF Containing Fibulin Extracellular Matrix Protein 1,ENSG00000115380,2202,yes,yes,yes,no,EFEMP1
EFTUD2,Elongation Factor Tu GTP Binding Domain Containing 2,ENSG00000108883,9343,no,yes,yes,no,EFTUD2
EIF4G1,Eukaryotic Translation Initiation Factor 4 Gamma 1,ENSG00000114867,1981,yes,yes,yes,no,EIF4G1
ELP1,Elongator Acetyltransferase Complex Subunit 1,ENSG00000070061,8518,yes,yes,yes,yes,ELP1
EMX1,Empty Spiracles Homeobox 1,ENSG00000135638,2016,no,no,yes,no,EMX1
EMX2,Empty Spiracles Homeobox 2,ENSG00000170370,2018,yes,no,yes,no,EMX2
ENO2,Enolase 2,ENSG00000111674,2026,no,no,yes,no,ENO2
ENTPD2,Ectonucleoside Triphosphate Diphosphohydrolase 2,ENSG00000054179,954,no,no,yes,no,ENTPD2
ENTR1,Endosome Associated Trafficking Regulator 1,ENSG00000165689,10807,no,no,yes,no,ENTR1
EP300,E1A Binding Protein P300,ENSG00000100393,2033,yes,yes,yes,no,EP300
EPG5,Ectopic P-Granules 5 Autophagy Tethering Factor,ENSG00000152223,57724,yes,yes,yes,no,EPG5
EPHA10,EPH Receptor A10,ENSG00000183317,284656,no,yes,yes,no,EPHA10
